[22:07:09] DEBUG      [Core] SDL initialize
[22:07:09] INFO       [Main] Program started
[22:07:11] INFO       [Main] Mouse position, x : 481, y : 220
[22:07:12] INFO       [Main] Mouse position, x : 84, y : 62
[22:07:13] INFO       [Main] Mouse position, x : 8, y : 4
[22:07:14] INFO       [Main] Mouse position, x : 5, y : 3
[22:07:16] INFO       [Main] Mouse position, x : 954, y : 474
[22:07:17] INFO       [Main] Mouse position, x : 956, y : 477
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
[22:07:20] INFO       [Main] P PRESS
